Time Stamp, Oakland
Tue Jan 15 07:47:38 2013,        -10
Tue Jan 15 07:47:49 2013,        -10
Tue Jan 15 07:47:59 2013,        -10
Tue Jan 15 07:48:10 2013,        -10
Tue Jan 15 07:48:21 2013,        -10
Tue Jan 15 07:48:31 2013,        -10
Tue Jan 15 07:48:42 2013,        -10
Tue Jan 15 07:48:52 2013,        -10
Tue Jan 15 07:49:03 2013,        -10
Tue Jan 15 07:49:14 2013,        -10
Tue Jan 15 07:49:24 2013,        -10
Tue Jan 15 07:49:35 2013,        -10
Tue Jan 15 07:49:46 2013,        -10
Tue Jan 15 07:49:56 2013,        -10
Tue Jan 15 07:50:07 2013,        -10
Tue Jan 15 07:50:17 2013,        -10
Tue Jan 15 07:50:28 2013,        -10
Tue Jan 15 07:50:39 2013,        -10
Tue Jan 15 07:50:49 2013,        -10
Tue Jan 15 07:51:00 2013,        -10
Tue Jan 15 07:51:10 2013,        -10
Tue Jan 15 07:51:21 2013,        -10
Tue Jan 15 07:51:31 2013,        -10
Tue Jan 15 07:51:42 2013,        -10
Tue Jan 15 07:51:53 2013,        -10
Tue Jan 15 07:52:03 2013,        -10
Tue Jan 15 07:52:14 2013,        -10
Tue Jan 15 07:52:24 2013,        -10
Tue Jan 15 07:52:35 2013,        -10
Tue Jan 15 07:52:46 2013,        -10
Tue Jan 15 07:52:56 2013,        -10
Tue Jan 15 07:53:07 2013,        -10
Tue Jan 15 07:53:17 2013,        -10
Tue Jan 15 07:53:28 2013,        -10
Tue Jan 15 07:53:39 2013,        -10
Tue Jan 15 07:53:49 2013,        -10
Tue Jan 15 07:54:00 2013,        -10
Tue Jan 15 07:54:11 2013,        -10
Tue Jan 15 07:54:21 2013,        -10
Tue Jan 15 07:54:32 2013,        -10
Tue Jan 15 07:54:42 2013,        -10
Tue Jan 15 07:54:53 2013,        -10
Tue Jan 15 07:55:04 2013,        -10
Tue Jan 15 07:55:14 2013,        -10
Tue Jan 15 07:55:25 2013,        -10
Tue Jan 15 07:55:36 2013,        -10
Tue Jan 15 07:55:46 2013,        -10
Tue Jan 15 07:55:57 2013,        -10
Tue Jan 15 07:56:07 2013,        -10
Tue Jan 15 07:56:18 2013,        -10
Tue Jan 15 07:56:29 2013,        -10
Tue Jan 15 07:56:39 2013,        -10
Tue Jan 15 07:56:50 2013,        -10
Tue Jan 15 07:57:00 2013,        -10
Tue Jan 15 07:57:11 2013,        -10
Tue Jan 15 07:57:22 2013,        -10
